0 5 8 10 12 20 25 26 28 33
1 5 8 10 12 20 25 26 28 32
0 3 8 10 12 20 25 26 30 33
0 5 9 10 12 20 25 25 28 33
0 5 8 8 12 20 26 27 28 33
0 5 8 9 12 20 25 27 28 33
0 5 8 10 11 21 25 26 28 33
1 3 8 10 12 20 25 26 30 32
1 5 9 10 12 20 25 25 28 32
1 5 8 8 12 20 26 27 28 32
1 5 8 9 12 20 25 27 28 32
1 5 8 10 11 21 25 26 28 32
0 1 8 12 13 20 25 26 30 33
0 3 9 10 12 20 25 25 30 33
0 3 8 8 12 20 26 27 30 33
0 3 8 9 12 20 25 27 30 33
0 3 8 10 11 21 25 26 30 33
0 5 9 10 11 21 25 25 28 33
0 5 8 8 11 21 26 27 28 33
0 5 8 8 12 20 22 26 33 33
0 5 8 9 11 21 25 27 28 33
0 5 8 9 12 20 22 25 33 33
1 1 8 12 13 20 25 26 30 32
1 3 9 10 12 20 25 25 30 32
1 3 8 8 12 20 26 27 30 32
1 3 8 9 12 20 25 27 30 32
1 3 8 10 11 21 25 26 30 32
1 5 9 10 11 21 25 25 28 32
1 5 8 8 11 21 26 27 28 32
1 5 8 8 12 20 22 26 32 33
1 5 8 9 11 21 25 27 28 32
1 5 8 9 12 20 22 25 32 33
0 1 9 12 13 20 25 25 30 33
0 1 8 11 13 21 25 26 30 33
0 1 8 11 12 22 25 26 30 33
0 3 9 10 11 21 25 25 30 33
0 3 8 8 11 21 26 27 30 33
0 3 8 9 11 21 25 27 30 33
0 5 8 8 11 21 22 26 33 33
0 5 8 8 13 20 21 26 33 33
0 5 8 9 11 21 22 25 33 33
0 5 8 9 13 20 21 25 33 33
1 1 9 12 13 20 25 25 30 32
1 1 8 11 13 21 25 26 30 32
1 1 8 11 12 22 25 26 30 32
1 3 9 10 11 21 25 25 30 32
1 3 8 8 11 21 26 27 30 32
1 3 8 9 11 21 25 27 30 32
1 5 8 8 11 21 22 26 32 33
1 5 8 8 13 20 21 26 32 33
1 5 8 9 11 21 22 25 32 33
1 5 8 9 13 20 21 25 32 33
0 1 9 11 13 21 25 25 30 33
0 1 9 11 12 22 25 25 30 33
0 1 8 11 12 25 26 27 28 30
1 1 9 11 13 21 25 25 30 32
1 1 9 11 12 22 25 25 30 32
3 5 8 8 10 20 21 26 32 33
3 5 8 9 10 20 21 25 32 33
0 1 9 11 12 25 25 27 28 30
0 1 10 11 12 25 25 26 28 30
3 5 8 8 9 20 21 27 32 33
