0 5 10 12 20 25 28 33
1 5 10 12 20 25 28 32
0 3 10 12 20 25 30 33
0 5 8 12 20 27 28 33
0 5 10 11 21 25 28 33
1 3 10 12 20 25 30 32
1 5 8 12 20 27 28 32
1 5 10 11 21 25 28 32
0 1 12 13 20 25 30 33
0 3 8 12 20 27 30 33
0 3 10 11 21 25 30 33
0 5 8 11 21 27 28 33
0 5 8 12 20 22 33 33
1 1 12 13 20 25 30 32
1 3 8 12 20 27 30 32
1 3 10 11 21 25 30 32
1 5 8 11 21 27 28 32
1 5 8 12 20 22 32 33
0 1 11 13 21 25 30 33
0 1 11 12 22 25 30 33
0 3 8 11 21 27 30 33
0 5 8 11 21 22 33 33
0 5 8 13 20 21 33 33
1 1 11 13 21 25 30 32
1 1 11 12 22 25 30 32
1 3 8 11 21 27 30 32
1 5 8 11 21 22 32 33
1 5 8 13 20 21 32 33
0 1 11 12 25 27 28 30
3 5 8 10 20 21 32 33
