bitstring,count
010000000011,284.0
010000000100,6909.0
010000000110,6816.0
010000001001,286.0
010000001011,309.0
010000001100,7089.0
010000001110,6946.0
010000010101,6.0
010000010111,13.0
010000011101,9.0
010000011111,14.0
010000100001,323.0
010000100011,302.0
010000100100,7203.0
010000100110,7010.0
010000101001,279.0
010000101011,294.0
010000101100,6898.0
010000101110,6928.0
010000110101,8.0
010000110111,11.0
010000111101,5.0
010000111111,18.0
010001000000,308.0
010001000010,272.0
010001001000,268.0
010001001010,282.0
010001010001,298.0
010001010011,304.0
010001010100,7001.0
010001010110,6865.0
010001011001,317.0
010001011011,335.0
010001011100,7070.0
010001011110,6871.0
010001100000,296.0
010001100010,296.0
010001101000,264.0
010001101010,298.0
010001110001,280.0
010001110011,330.0
010001110100,6944.0
010001110110,6923.0
010001111001,305.0
010001111011,297.0
010001111100,6909.0
010001111110,6974.0
010010000001,298.0
010010000011,262.0
010010000100,7020.0
010010000110,6859.0
010010001001,287.0
010010001011,283.0
010010001100,6769.0
010010001110,6971.0
010010010101,19.0
010010010111,15.0
010010011101,15.0
010010011111,18.0
010010100001,269.0
010010100011,257.0
010010100100,6963.0
010010100110,6946.0
010010101001,290.0
010010101011,275.0
010010101100,7023.0
010010101110,7058.0
010010110101,13.0
010010110111,20.0
010010111101,8.0
010010111111,9.0
010011000000,262.0
010011000010,289.0
010011001000,307.0
010011001010,303.0
010011010001,262.0
010011010011,298.0
010011010100,6983.0
010011010110,6895.0
010011011001,320.0
010011011011,310.0
010011011100,6910.0
010011011110,6942.0
010011100000,304.0
010011100010,288.0
010011101000,285.0
010011101010,298.0
010011110001,344.0
010011110011,303.0
010011110100,6895.0
010011110110,6942.0
010011111001,303.0
010011111011,326.0
010011111100,6900.0
010011111110,6838.0
010100001010,1.0
010100100010,1.0
010100101000,1.0
010100101010,1.0
010101000001,10.0
010101000011,18.0
010101000100,296.0
010101000110,271.0
010101001001,14.0
010101001011,10.0
010101001100,292.0
010101001110,251.0
010101010111,1.0
010101011000,1.0
010101011101,1.0
010101011111,1.0
010101100001,10.0
010101100011,12.0
010101100100,295.0
010101100110,308.0
010101101001,9.0
010101101011,15.0
010101101100,269.0
010101101110,291.0
010101110010,1.0
010101110101,3.0
010101111101,2.0
010110000010,1.0
010110001000,2.0
010110100000,1.0
010110100010,1.0
010110101000,1.0
010110101010,1.0
010111000001,8.0
010111000011,10.0
010111000100,278.0
010111000110,295.0
010111001001,12.0
010111001011,12.0
010111001100,293.0
010111001110,274.0
010111011000,1.0
010111011111,1.0
010111100001,13.0
010111100011,5.0
010111100100,291.0
